Month,Prov,Immig,Char,Sex,Age,    Nodegree,    Highschoolgraduate,    Postsecondary,    University,       Above bachelor degree
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Male,15 Years +,201.6,385.9,574.3,738.5,287.1
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Male,  15-24,33.2,41.2,29.3,15.9,2.6
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Male,  25 Years +,168.3,344.7,545,722.7,284.5
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Male,  25-64,154,328.8,517.8,690,266.7
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Male,  55 Years +,63.2,85.8,128.5,166.1,76.6
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Female,15 Years +,155.4,353.6,571.3,617,202.5
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Female,  15-24,23.8,34.8,26.2,15.1,2.2
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Female,  25 Years +,131.6,318.7,545.1,601.9,200.2
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Female,  25-64,124.5,305.6,531.4,590.9,195.6
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Female,  55 Years +,46.6,82.6,120.7,99,36.9
10-Jan,Canada,  Total Landed immigrants,    Employment,  Male,15 Years +,172.4,339.6,524.3,674.2,265.8
10-Jan,Canada,  Total Landed immigrants,    Employment,  Male,  15-24,22.2,31.7,24.6,13.3,2.1
10-Jan,Canada,  Total Landed immigrants,    Employment,  Male,  25 Years +,150.3,307.9,499.7,660.9,263.7
10-Jan,Canada,  Total Landed immigrants,    Employment,  Male,  25-64,137.4,292.8,473.7,629,246.3
10-Jan,Canada,  Total Landed immigrants,    Employment,  Male,  55 Years +,53.6,79,118.7,156.6,72.5
10-Jan,Canada,  Total Landed immigrants,    Employment,  Female,15 Years +,130.3,317.9,526.3,563.4,186.4
10-Jan,Canada,  Total Landed immigrants,    Employment,  Female,  15-24,20.4,27.4,21,13.7,2.2
10-Jan,Canada,  Total Landed immigrants,    Employment,  Female,  25 Years +,109.9,290.4,505.3,549.7,184.2
10-Jan,Canada,  Total Landed immigrants,    Employment,  Female,  25-64,103,278.2,493.9,538.8,179.6
10-Jan,Canada,  Total Landed immigrants,    Employment,  Female,  55 Years +,39.8,77.2,114.1,94,35.7
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Male,15 Years +,141.3,298.1,472.3,612.5,239.9
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Male,  15-24,9.2,17,15,11.6,1.6
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Male,  25 Years +,132.1,281.1,457.3,600.9,238.3
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Male,  25-64,122.8,272.2,438,580.1,227.1
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Male,  55 Years +,44.1,66.6,103.5,133.3,61.5
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Female,15 Years +,94.5,239.4,408.6,453.9,148.1
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Female,  15-24,5.8,11.8,12.8,9.2,2.2
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Female,  25 Years +,88.7,227.6,395.8,444.6,145.9
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Female,  25-64,84.7,219.2,389.7,440.2,144
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Female,  55 Years +,30.8,57.3,82.8,69.3,25.6
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Male,15 Years +,31.2,41.5,52,61.7,25.9
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Male,  15-24,13,14.7,9.6,1.7,0
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Male,  25 Years +,18.2,26.8,42.4,60,25.3
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Male,  25-64,14.7,20.6,35.6,48.8,19.2
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Male,  55 Years +,9.5,12.3,15.2,23.4,11.1
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Female,15 Years +,35.8,78.5,117.8,109.6,38.3
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Female,  15-24,14.6,15.6,8.3,4.5,-
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Female,  25 Years +,21.2,62.8,109.5,105.1,38.3
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Female,  25-64,18.3,59,104.2,98.6,35.6
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Female,  55 Years +,9,19.9,31.3,24.7,10.1
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Male,15 Years +,29.1,46.3,50,64.4,21.3
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Male,  15-24,11.1,9.5,4.7,2.6,NaN
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Male,  25 Years +,18.1,36.8,45.3,61.8,20.9
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Male,  25-64,16.6,36.1,44.1,61.1,20.4
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Male,  55 Years +,9.5,6.9,9.7,9.5,4
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Female,15 Years +,25.1,35.7,45,53.6,16.1
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Female,  15-24,3.4,7.4,5.2,0,0
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Female,  25 Years +,21.8,28.3,39.8,52.2,16
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Female,  25-64,21.5,27.4,37.5,52.2,16
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Female,  55 Years +,6.8,5.5,6.7,5,0
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Male,15 Years +,292.8,169.5,232.5,180,78.1
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Male,  15-24,54.5,22.2,12.4,5.1,1.5
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Male,  25 Years +,238.3,147.4,220.1,174.9,76.5
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Male,  25-64,53.8,67.9,75,89.6,35.4
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Male,  55 Years +,213.3,108.8,186.4,117.9,54
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Female,15 Years +,493.2,328.3,253.2,242.5,71.9
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Female,  15-24,44.4,20.8,11.5,8.7,0
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Female,  25 Years +,448.8,307.5,241.6,233.7,71.3
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Female,  25-64,141.1,151.7,130.5,160.8,47.2
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Female,  55 Years +,380.9,213.5,163.8,108.7,35.9
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Male,15 Years +,14.4,12,8.7,8.7,7.4
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Male,  15-24,33.4,23.1,16,16.4,0
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Male,  25 Years +,10.8,10.7,8.3,8.6,7.3
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Male,  25-64,10.8,11,8.5,8.9,7.6
