Month,Prov,Immig,Char,Sex,Age,No degree,Highschoolgraduate,Postsecondary,University,Above bachelor degree
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Male,15 Years +,202,386,574,739,287
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Male,  15-24,33,41,29,16,3
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Male,  25 Years +,168,345,545,723,285
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Male,  25-64,154,329,518,690,267
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Male,  55 Years +,63,86,129,166,77
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Female,15 Years +,155,354,571,617,203
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Female,  15-24,24,35,26,15,2
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Female,  25 Years +,132,319,545,602,200
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Female,  25-64,125,306,531,591,196
10-Jan,Canada,  Total Landed immigrants,  Labour force,  Female,  55 Years +,47,83,121,99,37
10-Jan,Canada,  Total Landed immigrants,    Employment,  Male,15 Years +,172,340,524,674,266
10-Jan,Canada,  Total Landed immigrants,    Employment,  Male,  15-24,22,32,25,13,2
10-Jan,Canada,  Total Landed immigrants,    Employment,  Male,  25 Years +,150,308,500,661,264
10-Jan,Canada,  Total Landed immigrants,    Employment,  Male,  25-64,137,293,474,629,246
10-Jan,Canada,  Total Landed immigrants,    Employment,  Male,  55 Years +,54,79,119,157,73
10-Jan,Canada,  Total Landed immigrants,    Employment,  Female,15 Years +,130,318,526,563,186
10-Jan,Canada,  Total Landed immigrants,    Employment,  Female,  15-24,20,27,21,14,2
10-Jan,Canada,  Total Landed immigrants,    Employment,  Female,  25 Years +,110,290,505,550,184
10-Jan,Canada,  Total Landed immigrants,    Employment,  Female,  25-64,103,278,494,539,180
10-Jan,Canada,  Total Landed immigrants,    Employment,  Female,  55 Years +,40,77,114,94,36
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Male,15 Years +,141,298,472,613,240
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Male,  15-24,9,17,15,12,2
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Male,  25 Years +,132,281,457,601,238
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Male,  25-64,123,272,438,580,227
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Male,  55 Years +,44,67,104,133,62
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Female,15 Years +,95,239,409,454,148
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Female,  15-24,6,12,13,9,2
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Female,  25 Years +,89,228,396,445,146
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Female,  25-64,85,219,390,440,144
10-Jan,Canada,  Total Landed immigrants,       Full-time employment,  Female,  55 Years +,31,57,83,69,26
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Male,15 Years +,31,42,52,62,26
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Male,  15-24,13,15,10,2,0
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Male,  25 Years +,18,27,42,60,25
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Male,  25-64,15,21,36,49,19
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Male,  55 Years +,10,12,15,23,11
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Female,15 Years +,36,79,118,110,38
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Female,  15-24,15,16,8,5,-
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Female,  25 Years +,21,63,110,105,38
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Female,  25-64,18,59,104,99,36
10-Jan,Canada,  Total Landed immigrants,       Part-time employment,  Female,  55 Years +,9,20,31,25,10
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Male,15 Years +,29,46,50,64,21
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Male,  15-24,11,10,5,3,NaN
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Male,  25 Years +,18,37,45,62,21
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Male,  25-64,17,36,44,61,20
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Male,  55 Years +,10,7,10,10,4
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Female,15 Years +,25,36,45,54,16
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Female,  15-24,3,7,5,0,0
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Female,  25 Years +,22,28,40,52,16
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Female,  25-64,22,27,38,52,16
10-Jan,Canada,  Total Landed immigrants,    Unemployment,  Female,  55 Years +,7,6,7,5,0
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Male,15 Years +,293,170,233,180,78
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Male,  15-24,55,22,12,5,2
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Male,  25 Years +,238,147,220,175,77
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Male,  25-64,54,68,75,90,35
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Male,  55 Years +,213,109,186,118,54
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Female,15 Years +,493,328,253,243,72
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Female,  15-24,44,21,12,9,0
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Female,  25 Years +,449,308,242,234,71
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Female,  25-64,141,152,131,161,47
10-Jan,Canada,  Total Landed immigrants,  Not in labour force,  Female,  55 Years +,381,214,164,109,36
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Male,15 Years +,14,12,9,9,7
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Male,  15-24,33,23,16,16,0
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Male,  25 Years +,11,11,8,9,7
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Male,  25-64,11,11,9,9,8
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Male,  55 Years +,15,8,8,6,5
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Female,15 Years +,16,10,8,9,8
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Female,  15-24,14,21,20,0,0
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Female,  25 Years +,17,9,7,9,8
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Female,  25-64,17,9,7,9,8
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Female,  55 Years +,15,7,6,5,0
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Male,15 Years +,35,61,65,73,73
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Male,  15-24,25,50,59,64,51
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Male,  25 Years +,37,63,65,74,73
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Male,  25-64,66,74,80,81,82
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Male,  55 Years +,19,41,38,55,56
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Female,15 Years +,20,47,64,66,68
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Female,  15-24,30,49,56,58,76
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Female,  25 Years +,19,46,64,66,68
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Female,  25-64,39,61,75,72,74
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Female,  55 Years +,9,26,40,45,49
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Male,15 Years +,10,35,41,69,27
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Male,  15-24,4,8,4,3,0
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Male,  25 Years +,6,27,37,66,26
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Male,  25-64,6,27,36,65,26
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Male,  55 Years +,0,3,4,8,2
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Female,15 Years +,12,22,50,59,18
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Female,  15-24,3,5,9,7,0
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Female,  25 Years +,9,17,41,52,18
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Female,  25-64,8,17,41,51,18
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Female,  55 Years +,2,3,3,5,2
10-Jan,Canada,  Non-landed immigrants,    Employment,  Male,15 Years +,8,31,37,63,26
10-Jan,Canada,  Non-landed immigrants,    Employment,  Male,  15-24,2,7,4,3,0
10-Jan,Canada,  Non-landed immigrants,    Employment,  Male,  25 Years +,5,24,34,61,25
10-Jan,Canada,  Non-landed immigrants,    Employment,  Male,  25-64,5,24,34,60,25
10-Jan,Canada,  Non-landed immigrants,    Employment,  Male,  55 Years +,0,2,3,7,2
10-Jan,Canada,  Non-landed immigrants,    Employment,  Female,15 Years +,11,19,47,56,18
10-Jan,Canada,  Non-landed immigrants,    Employment,  Female,  15-24,2,4,8,6,0
10-Jan,Canada,  Non-landed immigrants,    Employment,  Female,  25 Years +,8,15,39,49,17
10-Jan,Canada,  Non-landed immigrants,    Employment,  Female,  25-64,7,15,39,48,17
10-Jan,Canada,  Non-landed immigrants,    Employment,  Female,  55 Years +,2,3,3,5,2
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Male,15 Years +,6,28,33,56,23
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Male,  15-24,0,5,3,3,0
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Male,  25 Years +,5,23,31,54,23
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Male,  25-64,5,23,31,53,23
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Male,  55 Years +,0,2,3,6,2
